label	Strain	Location	Host	Source	Owner	Organism	Bioproject	Count_gene_total	ANI	BUSCO_%Complete(C)	BUSCO_%Complete_and_SingleCopy(S)	BUSCO_%Complete_and_Duplicated(D)	BUSCO_%Fragmented(F)	BUSCO_%Missing(M)	Busco_TotalGroups(n)	BUSCO_Number_of_scaffolds	BUSCO_Number_of_contigs	BUSCO_Total_length	BUSCO_Percent_gaps	BUSCO_Scaffold_N50_MB	BUSCO_Contigs_N50_MB	CheckM_Completeness	CheckM_Contamination	CheckM_Strain heterogeneity	Assembly_level	Country	Estado
GCA_030521465.1	C8	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3253	99.08519	98.3	98.3	0	0.9	0.9	116	63	63	3415064	0	0.255	0.255	99.49	0	0	Contig	Israel	NA
GCA_028622935.1	CMM04	Mexico:Jalisco	Solanum lycopersicum	RefSeq	CIAD AC	Clavibacter michiganensis subsp. michiganensis	PRJNA932320	3198	99.37616	98.3	98.3	0	0.9	0.9	116	3	3	3365512	0	3	3	99.49	0.76	0	Complete Genome	Mexico	Jalisco
GCA_030520925.1	C53	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3145	99.152023	97.4	97.4	0	0.9	1.7	116	46	46	3317376	0	0.301	0.301	97.98	0	0	Contig	Israel	NA
GCA_009793225.1	CFBP7568	USA	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA476163	3176	99.156738	98.3	98.3	0	0.9	0.9	116	61	61	3347875	0	0.313	0.313	99.49	0	0	Contig	USA	NA
GCA_009796125.1	CFBP1465	France	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA476169	3182	99.115303	98.3	98.3	0	0.9	0.9	116	66	66	3328034	0	0.127	0.127	99.49	0	0	Contig	France	NA
GCA_030521085.1	C43	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3148	99.148018	98.3	98.3	0	0.9	0.9	116	42	42	3302361	0	0.252	0.252	99.49	0	0	Contig	Israel	NA
GCA_030521505.1	C5	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3141	99.123581	98.3	98.3	0	0.9	0.9	116	51	51	3295300	0	0.152	0.152	99.49	0	0	Contig	Israel	NA
GCA_030521485.1	C6	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3116	99.108353	98.3	98.3	0	0.9	0.9	116	54	54	3266969	0	0.126	0.126	99.49	0	0	Contig	Israel	NA
GCA_030520805.1	C59	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3122	99.196953	99.1	99.1	0	0	0.9	116	32	32	3292590	0	0.218	0.218	99.49	0	0	Contig	Israel	NA
GCA_032917855.1	MX11-E9	Mexico: Guanajuato	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.149765	97.4	97.4	0	1.7	0.9	116	19	44	3389235	0.042	0.55	0.55	98.93	0	0	Scaffold	Mexico	Guanajuato
GCA_032916285.1	MX19-P88B	Mexico: Guanajuato	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.179436	98.3	98.3	0	0.9	0.9	116	28	81	3383153	0.173	0.379	0.379	99.33	0	0	Scaffold	Mexico	Guanajuato
V9XD4P_1	LAC3-16T	Mexico: Culiacan	Solanum lycopersicum	Cliente	Cliente	Clavibacter michiganensis	NA	NA	99.145523	98.3	98.3	0	0.9	0.9	116	4	4	3490294	0	3	3	99.49	0	0	NA	Mexico	Sinaloa
GCA_032912905.1	MAI1009	Uruguay: Salto	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.176933	98.3	98.3	0	0.9	0.9	116	3	3	3419003	0	3	3	99.49	0	0	Contig	Uruguay	NA
GCA_020616235.1	CMM04	Mexico:Jalisco	Solanum lycopersicum	RefSeq	CIAD AC	Clavibacter michiganensis subsp. michiganensis	PRJNA770121	3209	99.37616	98.3	98.3	0	0.9	0.9	116	3	3	3365532	0	3	3	99.49	0.76	0	Complete Genome	Mexico	Jalisco
GCA_030520775.1	C68	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3187	99.373566	98.3	98.3	0	0.9	0.9	116	47	47	3351655	0	0.222	0.222	99.49	0	0	Contig	Israel	NA
GCA_009739655.1	UF1	USA:Florida	Solanum lycopersicum	RefSeq	University of Florida	Clavibacter michiganensis subsp. michiganensis	PRJNA504046	3171	99.997223	98.3	98.3	0	0.9	0.9	116	3	3	3365549	0	3	3	99.49	0.76	0	Complete Genome	USA	NA
GCA_009796225.1	CFBP7158	New Zealand	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA476175	3102	99.20768	98.3	98.3	0	0.9	0.9	116	23	23	3285302	0	0.511	0.511	99.49	0	0	Contig	New Zealand	NA
GCA_032917255.1	MX15-L3D	Mexico: Zacatecas	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.134293	97.4	97.4	0	0.9	1.7	116	84	84	3358660	0	0.081	0.081	99.49	0	0	Contig	Mexico	Zacatecas
GCA_032917275.1	MX15-G23P	Mexico: Nuevo Leon	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.137741	97.4	97.4	0	0.9	1.7	116	99	99	3357874	0	0.08	0.08	99.44	0	0	Contig	Mexico	NuevoLeon
GCA_032655805.1	MX15-M3C	Mexico: Aguascalientes	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.076843	98.3	98.3	0	0.9	0.9	116	112	112	3477034	0	0.076	0.076	99.44	0.25	0	Contig	Mexico	Aguascalientes
GCA_002151005.1	CAYO001	USA: California	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA331202	3173	99.135834	98.3	97.4	0.9	0.9	0.9	116	1	1	3331441	0	3	3	99.49	0.84	100	Contig	USA	NA
GCA_032912885.1	MAI1050	Uruguay: Montevideo	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.020142	98.3	97.4	0.9	0.9	0.9	116	6	6	3441926	0	2	2	99.49	0.51	100	Contig	Uruguay	NA
GCA_032912925.1	MAI1001	Uruguay: Salto	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.102783	98.3	98.3	0	0.9	0.9	116	4	4	3443660	0	3	3	99.49	0	0	Contig	Uruguay	NA
GCA_032913025.1	NT20-V12	Netherlands	Solanum lycopersicum	RefSeq	CINVESTAV	Clavibacter michiganensis subsp. michiganensis	PRJNA996097	NA	99.118195	98.3	98.3	0	0.9	0.9	116	90	90	3411907	0	0.067	0.067	99.49	0.76	0	Contig	Netherlands	NA
GCA_011995885.1	VL527	Chile: Valparaiso Region	Solanum lycopersicum	RefSeq	Universidad Tecnica Federico Santa Maria	Clavibacter michiganensis subsp. michiganensis	PRJNA595774	3220	99.084213	98.3	98.3	0	0.9	0.9	116	2	2	3396632	0	3	3	99.49	0.51	0	Complete Genome	Chile	NA
GCA_030521245.1	C32	Israel	Solanum lycopersicum	RefSeq	Agricultural Research Organization - Volcani Institute	Clavibacter michiganensis	PRJNA966807	3218	99.1437	98.3	98.3	0	0.9	0.9	116	55	55	3376794	0	0.152	0.152	99.49	0.51	0	Contig	Israel	NA
GCA_002151105.1	CA00001	USA: California	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA331203	3274	99.163452	98.3	98.3	0	0.9	0.9	116	107	107	3466390	0	0.095	0.095	99.49	2.92	66.67	Contig	USA	NA
GCA_019263765.1	VQ28	Chile: Region de Valparaiso, Quillota	Solanum lycopersicum	RefSeq	Universidad Tecnica Federico Santa Maria	Clavibacter michiganensis subsp. michiganensis	PRJNA595774	3187	99.168594	98.3	98.3	0	0.9	0.9	116	3	3	3364113	0	3	3	99.49	0	0	Complete Genome	Chile	NA
GCA_011995665.1	MSF322	Chile: Maule Region	Solanum lycopersicum	RefSeq	Universidad Tecnica Federico Santa Maria	Clavibacter michiganensis subsp. michiganensis	PRJNA595774	3223	99.040222	98.3	98.3	0	0.9	0.9	116	3	3	3399199	0	3	3	99.49	0	0	Complete Genome	Chile	NA
GCA_009796265.1	CFBP7312	China	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA476177	3157	99.127777	98.3	98.3	0	0.9	0.9	116	43	43	3319896	0	0.151	0.151	99.49	0	0	Contig	China	NA
GCA_019455805.1	317	USA: New York State	Solanum lycopersicum	RefSeq	Cornell University	Clavibacter michiganensis subsp. michiganensis	PRJNA512542	3188	99.117592	98.3	98.3	0	0.9	0.9	116	16	16	3360296	0	0.803	0.803	99.49	0	0	Scaffold	USA	NA
GCA_002151305.1	CASJ008	USA: California	Solanum lycopersicum	RefSeq	University of California	Clavibacter michiganensis subsp. michiganensis	PRJNA331200	3247	98.991852	97.4	97.4	0	1.7	0.9	116	32	32	3387802	0	2	2	98.65	0.51	100	Contig	USA	NA
